,generation,representation,fitness
0,0,"{'code': '1-10-001-1010-00100-000010', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'output']}",0.8841145634651184
1,0,"{'code': '0-11-100-1010-00100-000001', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8847155570983887
2,0,"{'code': '1-10-001-0001-00010-001100', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.7981770634651184
3,0,"{'code': '0-10-100-1000-00101-101000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8950320482254028
4,0,"{'code': '0-10-011-0001-00100-001010', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.8802083134651184
5,0,"{'code': '1-10-010-1000-00010-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.8224158883094788
6,0,"{'code': '0-10-011-0011-00100-100000', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.8346354365348816
7,0,"{'code': '1-01-100-0001-00100-100010', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.9390023946762085
8,0,"{'code': '0-10-100-0010-00100-100100', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}",0.938401460647583
9,0,"{'code': '1-10-001-0100-10000-100010', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}",0.9020432829856873
10,0,"{'code': '0-11-001-0001-00001-110000', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.8346354365348816
11,0,"{'code': '0-10-100-1011-00010-100000', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8358373641967773
12,0,"{'code': '1-01-100-1000-00100-000100', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}",0.9390023946762085
13,0,"{'code': '1-01-010-0010-00100-001100', 'operations': ['input', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.8588742017745972
14,0,"{'code': '0-10-001-1000-00010-101000', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8334335088729858
15,0,"{'code': '0-10-100-0001-00010-100101', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8964343070983887
16,0,"{'code': '1-10-001-1000-00001-000011', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.8811097741127014
17,0,"{'code': '1-01-010-0001-10000-001000', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.7928686141967773
18,0,"{'code': '0-10-101-0001-10000-100000', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8316305875778198
19,0,"{'code': '0-10-001-0001-00110-100010', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.932692289352417
20,0,"{'code': '1-01-001-1100-00010-000100', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}",0.8688902258872986
21,0,"{'code': '0-10-100-1100-00110-000100', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'output']}",0.8240184187889099
22,0,"{'code': '1-01-100-1000-01010-000100', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.9347956776618958
23,0,"{'code': '1-11-010-0100-00100-010000', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}",0.8240184187889099
24,0,"{'code': '1-10-010-0100-00010-001010', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.9383012652397156
25,0,"{'code': '1-10-100-0110-00010-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.9297876358032227
26,0,"{'code': '1-10-101-0010-00100-010000', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}",0.9360977411270142
27,0,"{'code': '1-01-001-0100-00100-011000', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}",0.9201722741127014
28,0,"{'code': '0-10-001-1010-00001-000101', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.9167668223381042
29,0,"{'code': '0-10-001-1001-00101-000100', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.9296875
30,0,"{'code': '1-10-010-0010-01000-000101', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.9031450152397156
31,0,"{'code': '0-10-100-0010-11010-001000', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.8939303159713745
32,0,"{'code': '0-10-101-0010-10010-001000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.9360977411270142
33,0,"{'code': '0-10-001-1010-00110-000010', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.8193109035491943
34,0,"{'code': '1-01-100-0100-10010-000100', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.8224158883094788
35,0,"{'code': '0-10-100-0001-00110-000010', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.9294871687889099
36,0,"{'code': '0-10-100-1000-00101-000101', 'operations': ['input', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}",0.9263821840286255
37,0,"{'code': '1-01-010-0001-00100-010001', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'output']}",0.8774038553237915
38,0,"{'code': '1-01-001-0101-00100-100000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'output']}",0.8316305875778198
39,0,"{'code': '1-01-100-1001-00010-000010', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.9370993375778198
40,0,"{'code': '1-01-001-1000-00100-001000', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.8892227411270142
41,0,"{'code': '1-11-100-0010-00001-100000', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'output']}",0.8346354365348816
42,0,"{'code': '1-10-001-1000-00001-100100', 'operations': ['input', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'output']}",0.9390023946762085
43,0,"{'code': '1-11-010-0001-00010-010000', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.885817289352417
44,0,"{'code': '0-11-001-0010-00101-100000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'maxpool3x3', 'output']}",0.8346354365348816
45,0,"{'code': '1-10-001-0001-00011-001000', 'operations': ['input', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.9347956776618958
46,0,"{'code': '1-01-100-0101-00001-000001', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.8914262652397156
47,0,"{'code': '1-01-010-1010-00001-010000', 'operations': ['input', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.885817289352417
48,0,"{'code': '0-10-001-1100-00001-001100', 'operations': ['input', 'maxpool3x3', 'maxpool3x3', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'output']}",0.8853164911270142
49,0,"{'code': '0-10-100-0101-10100-001000', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'output']}",0.9360977411270142
50,0,"{'code': '1-01-110-0001-00100-100000', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.8346354365348816
51,0,"{'code': '1-10-001-1100-00100-100000', 'operations': ['input', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'conv3x3-bn-relu', 'maxpool3x3', 'output']}",0.8346354365348816
52,0,"{'code': '1-01-011-0100-10000-000010', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'maxpool3x3', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}",0.930588960647583
53,0,"{'code': '1-10-010-1000-01010-001000', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}",0.8240184187889099
54,0,"{'code': '1-10-001-0011-10000-000100', 'operations': ['input', 'conv1x1-bn-relu', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv1x1-bn-relu', 'maxpool3x3', 'output']}",0.9279847741127014
55,0,"{'code': '1-10-010-0100-11000-000010', 'operations': ['input', 'conv3x3-bn-relu', 'maxpool3x3', 'conv1x1-bn-relu', 'conv3x3-bn-relu', 'conv3x3-bn-relu', 'output']}",0.9279847741127014
